iter	Passed	Remaining
0	56	56937
1	57	28603
2	57	19154
3	58	14453
4	58	11616
5	58	9719
6	59	8375
7	59	7376
8	59	6589
9	60	5953
10	60	5431
11	60	4998
12	61	4635
13	61	4319
14	61	4046
15	61	3810
16	62	3602
17	62	3420
18	62	3252
19	63	3100
20	63	2962
21	63	2841
22	64	2728
23	64	2625
24	64	2531
25	65	2444
26	65	2364
27	65	2288
28	66	2216
29	66	2149
30	66	2088
31	67	2032
32	67	1980
33	67	1927
34	68	1879
35	68	1831
36	68	1787
37	69	1747
38	69	1707
39	69	1669
40	69	1634
41	70	1601
42	70	1570
43	70	1539
44	71	1512
45	71	1483
46	71	1456
47	72	1429
48	72	1404
49	72	1380
50	72	1357
51	73	1335
52	73	1314
53	73	1293
54	74	1273
55	74	1254
56	74	1236
57	75	1218
58	75	1200
59	75	1182
60	75	1168
61	76	1152
62	76	1137
63	76	1121
64	76	1107
65	77	1093
66	77	1080
67	77	1067
68	78	1055
69	78	1042
70	78	1030
71	79	1018
72	79	1008
73	79	998
74	80	987
75	80	977
76	80	967
77	80	957
78	81	947
79	81	937
80	81	927
81	82	918
82	82	907
83	82	898
84	82	890
85	83	882
86	83	874
87	83	866
88	83	859
89	84	851
90	84	845
91	85	840
92	85	833
93	85	827
94	86	820
95	86	813
96	86	806
97	86	800
98	87	794
99	87	788
100	87	782
101	88	776
102	88	770
103	88	764
104	89	759
105	89	754
106	89	748
107	90	743
108	90	738
109	90	733
110	90	728
111	91	722
112	91	717
113	91	712
114	92	708
115	92	703
116	92	698
117	92	693
118	93	689
119	93	685
120	93	681
121	94	676
122	94	672
123	94	669
124	95	665
125	95	661
126	95	657
127	96	654
128	96	650
129	96	647
130	97	644
131	97	640
132	97	637
133	97	633
134	98	629
135	98	625
136	98	622
137	99	619
138	99	616
139	99	613
140	100	611
141	100	607
142	100	603
143	101	600
144	101	597
145	101	594
146	101	591
147	102	588
148	102	585
149	102	582
150	103	579
151	103	576
152	103	573
153	103	570
154	104	567
155	104	565
156	104	562
157	104	559
158	105	556
159	105	553
160	105	550
161	105	547
162	106	544
163	106	542
164	106	540
165	106	537
166	107	534
167	107	532
168	107	530
169	108	528
170	108	526
171	108	524
172	109	522
173	109	520
174	109	518
175	110	516
176	110	513
177	110	511
178	111	510
179	111	507
180	111	505
181	112	503
182	112	501
183	112	499
184	113	497
185	113	496
186	113	494
187	114	493
188	114	491
189	114	490
